file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
backend/app/routers/variacoes.py,backend/app/routers/variacoes.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,2,2,2,0.00,
backend/app/schemas/__init__.py,backend/app/schemas/__init__.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/schemas/dashboard.py,backend/app/schemas/dashboard.py,2026-06-21T22:49:08-03:00,2026-06-24T12:28:38-03:00,2,2,2,0.00,
backend/app/schemas/ingrediente.py,backend/app/schemas/ingrediente.py,2026-06-21T22:49:08-03:00,2026-06-24T15:11:10-03:00,2,2,2,0.00,
backend/app/schemas/lista_compras.py,backend/app/schemas/lista_compras.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/schemas/movimentacao.py,backend/app/schemas/movimentacao.py,2026-06-24T15:22:19-03:00,2026-06-24T15:22:19-03:00,1,1,1,0.00,
backend/app/schemas/notificacao.py,backend/app/schemas/notificacao.py,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
backend/app/schemas/pedido.py,backend/app/schemas/pedido.py,2026-06-21T22:49:08-03:00,2026-06-24T15:22:19-03:00,2,2,2,0.00,
backend/app/schemas/produto.py,backend/app/schemas/produto.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/schemas/receita.py,backend/app/schemas/receita.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/schemas/variacao.py,backend/app/schemas/variacao.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/services/notificador.py,backend/app/services/notificador.py,2026-06-24T14:24:26-03:00,2026-06-24T15:22:19-03:00,3,3,1,0.00,
backend/pyproject.toml,backend/pyproject.toml,2026-06-21T22:49:08-03:00,2026-06-24T14:24:26-03:00,2,2,2,0.00,
backend/railway.json,backend/railway.json,2026-06-21T23:16:41-03:00,2026-06-21T23:36:44-03:00,2,2,1,0.00,
backend/tests/conftest.py,backend/tests/conftest.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/tests/test_api.py,backend/tests/test_api.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/uv.lock,backend/uv.lock,2026-06-21T22:49:08-03:00,2026-06-24T14:24:26-03:00,2,2,2,0.00,
docker-compose.yml,docker-compose.yml,2026-06-24T15:11:10-03:00,2026-06-24T15:11:10-03:00,1,1,1,0.00,
docs/architecture.md,docs/architecture.md,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
docs/briefing.md,docs/briefing.md,2026-06-21T22:49:08-03:00,2026-06-23T00:21:07-03:00,2,2,1,0.00,
docs/plans/2026-06-21-fase1-backend-setup.md,docs/plans/2026-06-21-fase1-backend-setup.md,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/.env.example,frontend/.env.example,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/.gitignore,frontend/.gitignore,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/.node-version,frontend/.node-version,2026-06-21T23:59:00-03:00,2026-06-21T23:59:00-03:00,1,1,1,0.00,
frontend/.nvmrc,frontend/.nvmrc,2026-06-21T23:36:44-03:00,2026-06-21T23:36:44-03:00,1,1,1,0.00,
frontend/README.md,frontend/README.md,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/e2e/app.spec.ts,frontend/e2e/app.spec.ts,2026-06-24T15:55:32-03:00,2026-06-24T15:55:32-03:00,1,1,1,0.00,
frontend/eslint.config.js,frontend/eslint.config.js,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/index.html,frontend/index.html,2026-06-21T22:49:08-03:00,2026-06-24T12:19:58-03:00,2,2,2,0.00,
frontend/nixpacks.toml,frontend/nixpacks.toml,2026-06-22T00:03:25-03:00,2026-06-22T00:06:13-03:00,2,2,1,0.00,
frontend/package-lock.json,frontend/package-lock.json,2026-06-21T22:49:08-03:00,2026-06-24T15:55:32-03:00,6,6,2,0.00,
frontend/package.json,frontend/package.json,2026-06-21T22:49:08-03:00,2026-06-24T15:55:32-03:00,7,7,2,0.00,
frontend/playwright.config.ts,frontend/playwright.config.ts,2026-06-24T15:55:32-03:00,2026-06-24T15:55:32-03:00,1,1,1,0.00,
frontend/public/favicon.svg,frontend/public/favicon.svg,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/public/icon-192.png,frontend/public/icon-192.png,2026-06-24T12:19:58-03:00,2026-06-24T12:19:58-03:00,1,1,1,0.00,
frontend/public/icon-512.png,frontend/public/icon-512.png,2026-06-24T12:19:58-03:00,2026-06-24T12:19:58-03:00,1,1,1,0.00,
frontend/public/icons.svg,frontend/public/icons.svg,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/railway.json,frontend/railway.json,2026-06-21T23:16:41-03:00,2026-06-22T00:23:05-03:00,7,7,1,0.00,
frontend/src/App.tsx,frontend/src/App.tsx,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,3,3,2,0.00,
frontend/src/api/client.ts,frontend/src/api/client.ts,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,8,8,2,0.00,
frontend/src/components/AsyncWrapper.tsx,frontend/src/components/AsyncWrapper.tsx,2026-06-24T16:09:22-03:00,2026-06-24T16:09:22-03:00,1,1,1,0.00,
frontend/src/components/ErrorBoundary.tsx,frontend/src/components/ErrorBoundary.tsx,2026-06-24T16:09:22-03:00,2026-06-24T16:09:22-03:00,1,1,1,0.00,
frontend/src/components/EstoqueChart.tsx,frontend/src/components/EstoqueChart.tsx,2026-06-24T15:28:14-03:00,2026-06-24T15:28:14-03:00,1,1,1,0.00,
frontend/src/components/Layout.tsx,frontend/src/components/Layout.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:55:32-03:00,5,5,2,0.00,
frontend/src/components/MensalChart.tsx,frontend/src/components/MensalChart.tsx,2026-06-24T12:28:38-03:00,2026-06-24T12:28:38-03:00,1,1,1,0.00,
frontend/src/components/NotificationBell.tsx,frontend/src/components/NotificationBell.tsx,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
frontend/src/components/OnlineStatus.tsx,frontend/src/components/OnlineStatus.tsx,2026-06-24T12:19:58-03:00,2026-06-24T12:19:58-03:00,1,1,1,0.00,
frontend/src/components/PageHeader.tsx,frontend/src/components/PageHeader.tsx,2026-06-24T15:46:57-03:00,2026-06-24T15:46:57-03:00,1,1,1,0.00,
frontend/src/components/PwaInstallPrompt.tsx,frontend/src/components/PwaInstallPrompt.tsx,2026-06-24T12:19:58-03:00,2026-06-24T12:19:58-03:00,1,1,1,0.00,
frontend/src/components/SyncStatus.tsx,frontend/src/components/SyncStatus.tsx,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
frontend/src/components/ThemeToggle.tsx,frontend/src/components/ThemeToggle.tsx,2026-06-24T15:55:32-03:00,2026-06-24T15:55:32-03:00,1,1,1,0.00,
frontend/src/components/Toast.tsx,frontend/src/components/Toast.tsx,2026-06-24T12:19:58-03:00,2026-06-24T12:19:58-03:00,1,1,1,0.00,
frontend/src/components/TopProdutos.tsx,frontend/src/components/TopProdutos.tsx,2026-06-24T12:28:38-03:00,2026-06-24T12:28:38-03:00,1,1,1,0.00,
frontend/src/components/__tests__/PageHeader.test.tsx,frontend/src/components/__tests__/PageHeader.test.tsx,2026-06-24T15:46:57-03:00,2026-06-24T15:46:57-03:00,1,1,1,0.00,
frontend/src/index.css,frontend/src/index.css,2026-06-21T22:49:08-03:00,2026-06-24T15:55:32-03:00,4,4,2,0.00,
frontend/src/main.tsx,frontend/src/main.tsx,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/src/pages/Dashboard.tsx,frontend/src/pages/Dashboard.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,7,7,2,0.00,
frontend/src/pages/Ingredientes.tsx,frontend/src/pages/Ingredientes.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,7,7,2,0.00,
frontend/src/pages/ListaCompras.tsx,frontend/src/pages/ListaCompras.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,4,4,2,0.00,
frontend/src/pages/PedidoDetalhe.tsx,frontend/src/pages/PedidoDetalhe.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,5,5,2,0.00,
frontend/src/pages/PedidoNovo.tsx,frontend/src/pages/PedidoNovo.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,4,4,2,0.00,
frontend/src/pages/Pedidos.tsx,frontend/src/pages/Pedidos.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,4,4,2,0.00,
frontend/src/pages/Produtos.tsx,frontend/src/pages/Produtos.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:46:57-03:00,4,4,2,0.00,
frontend/src/pages/PublicTracking.tsx,frontend/src/pages/PublicTracking.tsx,2026-06-21T22:49:08-03:00,2026-06-24T15:22:19-03:00,3,3,2,0.00,
frontend/src/services/db.ts,frontend/src/services/db.ts,2026-06-24T12:19:58-03:00,2026-06-24T14:24:26-03:00,2,2,1,0.00,
frontend/src/services/mutationQueue.ts,frontend/src/services/mutationQueue.ts,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
frontend/src/services/offlineClient.ts,frontend/src/services/offlineClient.ts,2026-06-24T12:19:58-03:00,2026-06-24T15:28:14-03:00,4,4,1,0.00,
frontend/src/sw.ts,frontend/src/sw.ts,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
frontend/src/test/setup.ts,frontend/src/test/setup.ts,2026-06-24T15:46:57-03:00,2026-06-24T15:46:57-03:00,1,1,1,0.00,
frontend/src/utils/__tests__/pedido.test.ts,frontend/src/utils/__tests__/pedido.test.ts,2026-06-24T15:46:57-03:00,2026-06-24T15:46:57-03:00,1,1,1,0.00,
frontend/src/utils/__tests__/whatsapp.test.ts,frontend/src/utils/__tests__/whatsapp.test.ts,2026-06-24T15:46:57-03:00,2026-06-24T15:46:57-03:00,1,1,1,0.00,
frontend/src/utils/csv.ts,frontend/src/utils/csv.ts,2026-06-24T12:28:38-03:00,2026-06-24T12:28:38-03:00,1,1,1,0.00,
frontend/src/utils/errors.ts,frontend/src/utils/errors.ts,2026-06-24T16:09:22-03:00,2026-06-24T16:09:22-03:00,1,1,1,0.00,
frontend/src/utils/pedido.ts,frontend/src/utils/pedido.ts,2026-06-24T15:46:57-03:00,2026-06-24T15:46:57-03:00,1,1,1,0.00,
frontend/src/utils/whatsapp.ts,frontend/src/utils/whatsapp.ts,2026-06-24T14:52:01-03:00,2026-06-24T14:52:01-03:00,1,1,1,0.00,
frontend/test-results/.last-run.json,frontend/test-results/.last-run.json,2026-06-24T15:55:32-03:00,2026-06-24T15:55:32-03:00,1,1,1,0.00,
frontend/tsconfig.app.json,frontend/tsconfig.app.json,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/tsconfig.json,frontend/tsconfig.json,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/tsconfig.node.json,frontend/tsconfig.node.json,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
frontend/vite.config.ts,frontend/vite.config.ts,2026-06-21T22:49:08-03:00,2026-06-24T15:55:32-03:00,5,5,2,0.00,
